,bld1,bld2,bld3,bld4,bld5,bld6,bld7,bld8,bld9,bld10,date,ist,segmentid
57,7.530646,7.538694,7.595908,7.651529,7.596219,7.64195,7.588102,7.580434,7.481046,7.381519,2.0,7.27,237.0
58,7.285133,7.23811,7.188293,7.101223,7.053018,7.054807,7.103457,7.193148,7.199903,7.202407,2.0,7.16,237.0
59,7.204912,7.207416,6.824401,6.704244,6.577603,6.463762,6.343432,6.298267,6.292353,6.261294,2.0,6.33,237.0
60,6.256133,6.221317,6.217256,6.190039,6.133732,6.070711,6.0185,5.341225,5.250226,5.162529,2.0,5.16,237.0
61,5.060533,4.987422,4.874615,4.79026,4.728121,4.696275,4.668915,4.712522,4.726662,4.75215,2.0,4.44,237.0
62,4.8103,5.728601,5.795662,5.831074,5.900789,5.964392,5.989997,6.012946,6.024158,6.043716,2.0,5.5,237.0
63,6.054088,6.042712,6.058709,6.070142,6.086375,6.097265,6.119988,6.1306,6.137106,7.30615,2.0,5.88,237.0
64,7.328864,7.322848,7.315445,7.307916,7.300387,7.292859,7.28533,8.457916,8.450262,8.442859,2.0,7.77,237.0
65,8.435204,8.427801,9.600387,9.592858,9.58533,9.577801,9.570272,9.562618,9.555215,9.547561,2.0,10.44,237.0
66,9.540158,9.532629,9.525101,9.517572,9.510043,9.502515,9.494861,9.487457,9.479803,9.4724,2.0,10.44,237.0
67,9.464871,10.637457,10.629929,10.6224,10.614871,10.607217,10.599814,10.59216,10.584757,10.577228,2.0,11.21,237.0
68,10.569699,10.562171,9.374528,9.366999,9.359345,9.351942,9.344288,9.336884,9.329356,8.141713,2.0,9.6,237.0
69,8.134184,8.126655,8.119127,8.111473,6.923955,6.916301,6.908898,6.901369,6.893841,6.886312,2.0,7.33,237.0
70,8.058898,8.051369,8.043715,8.036312,8.028658,8.021254,8.013726,8.006197,7.998669,7.99114,2.0,8.44,237.0
71,7.983611,7.975957,7.968554,7.9609,7.953497,7.945968,7.938439,7.930911,9.103496,9.095968,2.0,8.77,237.0
72,9.088314,9.080911,9.073256,9.065853,9.058325,9.050796,9.043267,9.035739,9.02821,9.020556,2.0,9.38,237.0
73,7.833038,7.825384,7.817981,7.810452,7.802924,7.795395,6.607752,6.600223,7.772684,6.585166,2.0,7.88,237.0
74,6.577512,6.570109,6.56258,6.555052,6.547523,6.539994,6.532466,6.524812,5.337294,5.32964,2.0,6.66,237.0
75,5.322237,5.314708,5.307179,5.299651,4.112008,4.117941,4.12895,4.139598,4.150607,4.161255,2.0,4.5,237.0
76,4.172083,4.182912,4.19374,4.204569,4.215397,4.226406,4.237054,5.428177,5.438825,5.449654,2.0,5.05,237.0
77,5.460482,5.471311,5.482139,5.492968,5.503977,5.514624,5.525633,5.536281,5.54711,5.557938,2.0,6.27,237.0
78,5.568767,5.579595,5.590424,5.601433,5.612081,5.62309,5.633738,5.644566,5.655394,5.666223,2.0,6.05,237.0
79,5.677051,5.68788,5.698889,5.709537,5.720546,5.731194,5.742022,5.752851,5.763679,5.774508,2.0,5.5,237.0
80,5.785336,5.796345,5.806993,5.818002,5.82865,5.839478,5.850307,5.861135,5.871964,5.882792,2.0,5.38,237.0
81,5.893801,5.904449,5.915458,5.926106,5.936934,4.767649,4.778477,4.789305,4.800134,4.811143,2.0,5.0,237.0
82,4.821791,4.8328,4.843448,4.854276,4.865105,4.875933,4.886762,4.89759,4.908599,4.919247,2.0,4.88,237.0
83,4.930256,4.940904,4.951732,6.142675,6.153504,6.164332,6.175161,6.18617,7.376932,7.365598,2.0,5.44,237.0
84,7.347186,6.19781,6.202199,6.20092,6.198209,6.195094,6.187492,6.177994,6.156986,5.059259,2.0,5.55,237.0
85,5.041647,5.014238,4.987756,4.963433,4.931587,4.916345,4.916346,4.920012,4.906327,4.89187,2.0,4.55,237.0
86,4.874931,4.877422,4.892445,4.88898,4.89351,4.87952,4.836045,4.789197,4.791112,4.824453,3.0,4.72,237.0
87,4.849007,5.588968,5.559669,4.82503,4.995523,5.028066,4.950913,4.842225,4.727183,4.656182,3.0,4.27,237.0
88,4.641293,4.651601,5.40836,5.412417,6.184431,6.28191,6.590567,6.75413,7.069614,7.16515,3.0,7.1,237.0
89,7.120142,7.109716,7.084366,7.050718,7.021473,6.98732,7.003672,7.022313,7.046326,7.121342,3.0,7.33,237.0
90,7.178131,7.151292,7.089394,7.080921,7.046484,7.01282,6.948144,6.378446,6.317683,6.280176,3.0,6.44,237.0
91,6.158971,5.985241,5.874256,5.770544,5.262293,5.159784,5.018823,4.87573,4.791578,4.709302,3.0,4.77,237.0
92,4.626645,4.616817,4.54231,4.528776,4.594279,4.637404,4.52392,4.39615,4.297776,4.202177,3.0,4.22,237.0
93,4.152344,4.062518,4.00101,3.949552,3.889999,3.837564,3.858667,3.89523,3.974708,4.094724,3.0,4.16,237.0
94,4.01233,3.868654,3.796445,3.868086,4.089067,4.376505,4.64599,4.689491,4.822559,4.915281,3.0,5.33,237.0
95,5.057619,5.106114,5.25008,5.307433,5.251878,5.238918,5.230548,5.423606,5.439881,5.536877,3.0,5.55,237.0
96,5.258049,5.066376,5.049204,4.950034,4.841701,4.828693,4.729528,4.718357,4.718188,4.673853,3.0,5.05,237.0
97,4.712848,4.618682,4.508509,4.444342,4.437169,4.491001,4.496833,4.496663,4.54066,4.699321,3.0,5.11,237.0
98,4.770154,4.775983,4.775816,4.674813,4.611479,4.702473,4.812303,4.922134,5.033798,4.999632,3.0,5.05,237.0
99,4.742464,4.462297,4.232457,4.060956,3.946619,3.834616,3.679448,3.510279,3.395942,3.282103,3.0,3.55,237.0
100,3.218769,3.111764,3.003431,2.895095,2.88209,3.079916,3.452743,3.783075,4.233901,4.766232,3.0,5.55,237.0
101,5.178563,5.507898,5.938226,6.341558,6.578392,6.600227,6.547059,6.640716,6.703717,6.755379,3.0,7.1,237.0
102,6.75938,6.75921,6.660043,6.603873,6.598702,6.695697,7.010854,7.23619,7.569682,7.741852,3.0,8.1,237.0
103,7.757686,7.811515,7.862346,7.867178,8.017172,8.137667,8.002673,7.775669,7.711332,7.847492,3.0,8.33,237.0
104,7.97399,8.084821,8.140652,8.04832,7.934481,7.72715,7.448312,7.172812,7.003307,6.88547,3.0,6.99,237.0
105,6.667303,6.446133,6.225964,6.002125,5.830624,5.660452,5.505413,5.393395,5.23784,5.183096,3.0,5.5,237.0
106,5.184887,5.233276,5.2455,5.299878,5.265105,5.265469,5.272162,5.278856,5.28555,5.292243,3.0,5.5,237.0
107,5.263273,5.223188,5.226464,5.275418,5.288032,5.32747,5.339098,5.345792,5.321584,5.252132,3.0,5.33,237.0
108,5.221396,5.22753,5.265861,5.278462,5.287447,5.296432,5.305417,5.314401,5.353326,5.365593,3.0,5.44,237.0
109,5.373633,5.381945,5.389985,5.398161,5.406337,5.414513,5.422689,5.430865,5.462393,5.450135,3.0,5.44,237.0
110,5.45553,5.46357,5.49131,5.517709,5.526519,5.55101,5.573481,5.58066,5.614484,5.636994,3.0,5.83,237.0
111,5.641838,5.644758,5.658342,5.661997,5.675612,5.68743,5.699495,5.709801,5.717235,5.724319,3.0,6.27,237.0
112,5.728952,6.776808,6.789763,6.806115,6.825119,6.835416,6.847182,6.856003,6.864177,6.871847,3.0,6.61,237.0
113,6.881874,6.904359,6.926843,6.949328,6.972188,6.994298,7.017158,7.039268,7.061752,5.904123,3.0,6.49,237.0
114,5.926608,5.949093,5.971577,4.814323,4.836433,4.859292,4.881402,6.084002,6.106486,7.309086,3.0,5.22,237.0
115,7.331571,8.53417,9.737144,9.759254,9.782114,9.804224,11.006823,11.029308,11.051793,11.074277,4.0,11.05,237.0
116,11.096762,11.119622,11.141732,11.164592,11.186702,10.029072,10.051557,10.074042,10.096527,10.119011,4.0,10.32,237.0
117,10.141871,10.163981,9.006726,9.028836,9.051321,9.073806,7.916176,7.938661,7.961146,9.16412,4.0,7.66,237.0
118,9.18623,9.20909,9.2312,9.253685,9.27617,9.298654,9.321139,9.343624,9.366484,9.388594,4.0,8.16,237.0
0,6.495697,6.440154,8.072525,8.016981,7.961437,9.593808,9.53919,9.482721,9.427177,9.371634,0.0,9.1,238.0
1,11.004005,12.636376,14.268747,14.213203,14.15766,12.415127,12.358657,10.615199,10.559655,8.816196,0.0,10.1,238.0
2,8.760652,8.705109,8.649565,6.906106,6.851488,6.795019,6.739475,6.683931,8.316303,8.260759,0.0,7.6,238.0
3,8.205215,8.149671,8.094128,9.727425,11.35887,11.303326,11.272896,11.280134,11.287373,11.294612,0.0,11.66,238.0
4,11.301851,11.30909,11.316208,11.323568,9.642892,9.650131,9.65737,9.664609,9.671848,9.679087,0.0,9.71,238.0
5,7.998411,8.005529,8.012888,8.020127,8.027366,8.034605,8.041844,8.049083,6.368407,6.375646,0.0,7.66,238.0
6,6.382764,6.390124,6.397363,6.404602,6.411841,6.41908,6.426318,6.433557,4.752881,4.76,0.0,5.94,238.0
7,6.455274,4.774598,4.781837,4.789076,4.796315,4.803554,4.810793,4.818032,4.82515,4.832509,0.0,5.05,238.0
8,4.839748,4.846987,4.854226,4.861465,4.868704,3.188028,3.195267,3.202385,3.209745,3.216984,0.0,4.05,238.0
9,4.908469,4.90942,6.598285,6.599236,8.288101,8.289052,9.977902,9.978868,9.979819,9.980769,0.0,9.38,238.0
10,9.98172,9.98267,9.983621,9.984571,9.985522,8.298542,8.299508,8.300459,8.301409,8.30236,0.0,8.83,238.0
11,8.303311,8.304261,8.305212,8.306162,6.619182,6.620149,6.621099,6.62205,6.623,6.623951,0.0,6.83,238.0
12,6.624901,6.625852,6.626803,4.939822,4.940789,4.941739,4.94269,4.94364,4.944591,4.945542,0.0,5.11,238.0
0,4.928084,4.540232,4.186146,4.003248,4.202631,4.275448,4.309625,4.537487,4.733341,4.919383,0.0,5.16,240.0
1,5.103924,5.335599,5.526156,5.709765,5.846392,5.922544,5.983594,6.088318,5.847272,5.297643,0.0,6.05,240.0
2,5.024223,5.105872,5.338459,5.559455,5.631673,5.702241,5.679332,5.684357,5.637468,5.630734,0.0,5.88,240.0
3,5.618884,5.689302,5.642015,5.598836,5.52363,5.45087,5.427847,5.383251,5.380122,5.388693,0.0,5.61,240.0
4,5.535208,5.64822,5.809814,5.87449,5.879013,5.850521,5.818131,5.857513,5.89935,5.999428,0.0,6.22,240.0
5,6.037834,6.057821,6.102017,6.160964,6.253535,6.296876,6.349054,6.355562,6.382692,6.356977,0.0,6.49,240.0
6,6.300805,6.23091,6.208959,6.219724,6.210467,6.044794,5.771427,5.612848,5.560287,5.478946,0.0,5.55,240.0
7,5.457282,5.557341,5.867546,5.870621,5.873748,5.876183,5.879973,5.831323,5.772972,5.77147,0.0,5.77,240.0
8,5.667451,5.720449,5.618431,5.449088,5.231244,4.958401,4.777732,4.83338,4.942211,5.00336,0.0,5.22,240.0
9,5.113191,5.326339,5.656829,5.996985,6.113309,6.22564,6.384455,6.448287,6.393769,6.391267,0.0,6.49,240.0
10,6.391748,6.343905,6.391061,6.393218,6.026383,6.432196,6.880028,6.895177,6.683009,6.571657,0.0,6.61,240.0
11,6.518313,6.517137,6.622126,6.357458,6.082607,5.793771,5.789586,5.849084,5.850565,5.793055,0.0,5.94,240.0
12,5.849545,6.064701,6.236866,6.291348,6.245179,6.079661,5.641827,5.473475,5.360964,5.194454,0.0,5.33,240.0
13,5.243443,5.136942,5.137423,5.077921,5.136403,5.030735,4.921216,5.136205,5.356695,5.685351,0.0,5.83,240.0
14,5.75135,5.645499,5.53233,5.687478,5.968642,6.140957,6.085281,5.976605,5.758928,5.805759,0.0,5.94,240.0
15,5.86424,5.866739,5.760887,5.698718,5.649033,5.481524,5.47918,5.587836,5.540168,5.269983,0.0,5.33,240.0
16,5.261147,5.203629,5.585626,5.917108,6.149264,6.094588,6.261244,6.264576,6.313391,6.315556,0.0,6.44,240.0
17,6.374037,6.425702,6.427017,6.427507,6.103498,5.823154,5.928984,5.929466,5.929964,5.882113,0.0,5.99,240.0
18,5.930111,6.098592,6.318248,6.430572,6.491895,6.493393,6.493875,6.434373,6.328522,6.384353,0.0,6.38,240.0
19,6.326835,6.109992,6.160315,6.053313,5.923697,5.754596,5.562168,5.339855,5.037767,4.919553,0.0,4.94,240.0
20,4.834788,4.725623,4.566109,4.520904,4.453048,4.488567,4.530881,4.51518,4.508111,4.484779,0.0,4.55,240.0
21,4.436545,4.434044,4.364879,4.356096,4.467601,4.532174,4.642491,4.708507,4.747014,4.764034,0.0,4.83,240.0
22,4.8212,4.901693,4.985795,4.999483,5.022265,5.073782,5.111113,5.174275,5.325729,5.456045,0.0,5.5,240.0
23,5.608481,5.690415,5.648306,5.525344,5.506395,5.537193,5.593989,5.613157,5.532657,5.504982,0.0,5.55,240.0
24,5.499425,5.549688,5.514419,5.497558,5.499194,5.552772,5.570471,5.510141,5.49204,5.604849,0.0,5.55,240.0
25,5.639908,4.661929,4.317826,4.382616,4.370976,4.373547,4.31951,4.239938,4.224501,4.28556,0.0,4.44,240.0
26,4.508818,4.779861,5.01753,5.259264,5.563127,5.940665,6.463674,7.117079,7.558163,7.548777,0.0,7.33,240.0
